YearStart,YearEnd,StateAbbr,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Topic,Category,Question,Response,Age,Sex,RaceEthnicity,RiskFactor,RiskFactorResponse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_limit,High_Confidence_Limit,Numerator,LocationID,GeoLocation,TopicID,CategoryID,QuestionID,ResponseID,DataValueTypeID,AgeID,SexID,RaceEthnicityID,RiskFactorID,RiskFactorResponseID,NonWeightedSample,WeightedSample,SampleSize
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with normal near acuity,65 years and older,Both sexes,"Hispanic, any race",Smoking,No,%,Crude Prevalence,48.84,,,38.26,59.5,537216,59,,TVFUNC,CVISAC,QPNEAR,RVPNEARNOR,CRDPREV,AGE65PLUS,GALL,HISP,RFSM,RFNO,184,1099861,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,65-69 years,Both sexes,"Hispanic, any race",All participants,Total,%,Crude Prevalence,17.07,,,10.74,25.15,218367,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE6569,GALL,HISP,RFAPAR,RFTOT,141,1278959,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,65 years and older,Male,All races,Smoking,Yes,%,Age-adjusted Prevalence,15.53,,,10.64,20.42,293788,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,AGEADJPREV,AGE65PLUS,GM,ALLRACE,RFSM,RFYES,153,1891747,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,65 years and older,Male,All races,Smoking,No,%,Crude Prevalence,12.13,,,9.84,14.73,1213080,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,CRDPREV,AGE65PLUS,GM,ALLRACE,RFSM,RFNO,1162,10002056,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,85-89 years,Both sexes,All races,Smoking,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE8589,GALL,ALLRACE,RFSM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65 years and older,Both sexes,"Black, non-Hispanic",Smoking,No,%,Age-adjusted Prevalence,1.94,,,0.54,3.34,24387,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,AGEADJPREV,AGE65PLUS,GALL,BLK,RFSM,RFNO,378,1257081,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,65 years and older,Female,"Black, non-Hispanic",All participants,Total,%,Crude Prevalence,24.5,,,20.39,29,574005,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE65PLUS,GF,BLK,RFAPAR,RFTOT,654,2342539,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65-69 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,CRDPREV,AGE6569,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65 years and older,Both sexes,All races,All participants,Total,%,Crude Prevalence,0.74,,,0.48,1.08,353752,59,,TVFUNC,CVISAC,QPVISA,RVPUSB,CRDPREV,AGE65PLUS,GALL,ALLRACE,RFAPAR,RFTOT,5432,48114704,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65 years and older,Female,"White, non-Hispanic",All participants,Total,%,Age-adjusted Prevalence,75.99,,,73.06,78.91,15691858,59,,TVFUNC,CVISAC,QPVISA,RVPNOR,AGEADJPREV,AGE65PLUS,GF,WHT,RFAPAR,RFTOT,1993,20649899,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Female,All races,Residential care,Yes,%,Age-adjusted Prevalence,68.01,,,59.92,76.11,925879,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,AGEADJPREV,AGE65PLUS,GF,ALLRACE,RFRES,RFYES,191,1361386,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,90 years and older,Both sexes,All races,Residential care,Yes,%,Crude Prevalence,24.88,,,15.65,36.15,104375,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,CRDPREV,AGE90PLUS,GALL,ALLRACE,RFRES,RFYES,94,419592,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65 years and older,Both sexes,All races,Diabetes,No,%,Age-adjusted Prevalence,24.03,,,21.75,26.31,8713100,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,AGEADJPREV,AGE65PLUS,GALL,ALLRACE,RFDM,RFNO,3877,36259261,
